
WATCH THE HIVEMIND HERE: http://www.twitch.tv/angrydraco 

*** NOTE ***

This is a snap shot for the hour before Anarchy was restored. All names
listed may or may not be human, they are everyone who contributed inputs
for the past hour. At point of interest I took this snap to help others
identify and witness the clone bots motives.

EDIT: Typos.

*** END NOTE **

-- FULL LIST AUTOMATICALLY GENERATED FROM HIVEMIND -- 
Names listed are those ACTIVE for the past 20 minutes as of (16D 20H - Suspect Snapshot) - UTC: 21:26:09.668

CORE VERSIONING - playerData: b130 DEV | dataPacket: b120 DEV | dataCounts: b130 DEV | Analysis is now implemented as playerData.fastAnalyze<Troll|Bot>() | 

-- INPUT COUNTS ARE FROM THE PAST HOUR -- 

OF THE 1178 USERS... 1129 HAVE AT LEAST 1 INPUTS

IN	Θ60	Θ15	Θ2	LEFT	RIGHT	UP	DOWN	A	B	St	Sel	L	R	Wait	Demo	Anarch	Riot	Chat	Yes	No	σ	(σ-μ)	μT	σT	USERNAME
58	0	2	0	2.0	16.0	40.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	9.9	6.5	24.6	68.1	rtomwfue
58	3	2	0	2.0	17.0	39.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	9.8	6.4	24.8	68.0	r976rk1eu
58	0	3	0	2.0	17.0	39.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	9.8	6.4	24.8	68.0	ks6pr4gw
58	12	12	1	    	    	1.0	3.0	    	1.0	4.0	    	    	    	0	33	16	0	36	0	0	8.3	4.9	7.4	6.0	potatos2121
58	0	1	1	1.0	    	6.0	2.0	    	    	4.0	    	    	    	0	3	42	0	3	0	0	9.8	6.4	22.5	79.6	yarboots
58	0	4	7	1.0	19.0	38.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	9.7	6.3	24.6	67.8	gcahbpa
57	5	1	1	0.5	9.8	23.3	1.5	12.8	1.0	3.0	3.5	0.5	    	0	0	1	0	38	0	0	6.1	2.7	15.3	12.8	beef_ball
57	4	6	0	    	    	    	4.0	    	4.0	8.0	    	    	    	0	1	40	0	16	0	0	9.4	6.0	14.1	21.6	micmanguy
57	0	0	0	6.0	2.0	2.5	12.5	2.5	22.5	    	    	    	    	0	1	8	0	0	0	0	5.9	2.5	24.3	71.0	4dcube
56	0	2	0	3.0	    	1.0	6.0	18.0	11.0	2.0	    	    	    	0	4	11	0	31	0	3	5.1	1.8	40.3	90.5	vorrahk
56	2	6	1	2.0	16.0	38.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	9.5	6.2	24.7	73.8	norlnf
55	1	2	1	2.0	16.0	37.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	9.2	6.0	25.1	74.8	q3dbyr7
